node_id,osm_name,H_m,VEI,face_id,cone,band,bandperp,cone_ok,cone_hw,band_ok,band_hw,bandperp_ok,bandperp_hw
n00281,East 34th Street,59.103768,0.903202373586634,f15,32.79773216802958,31.085761003591234,29.127199667512528,True,1.8020687435704135,True,1.9013132087444133,True,2.0291606702556546
n00282,East 34th Street,50.46878400000001,0.8755562157023699,f15,34.91050282123035,34.91050282202458,31.247183091518163,True,1.4456619046262518,True,1.4456619045933623,True,1.6151466790521485
n00283,East 34th Street,50.46878400000001,0.8393304484875017,f15,91.04682403790355,61.11668850494552,57.2344065911292,True,0.5543167983431189,True,0.8257774633178319,True,0.8817909891254503
n00284,East 34th Street,20.206716,0.9029837491290315,f15,33.8023123700736,33.80231236968388,31.70604349773636,True,0.5977909374593476,True,0.5977909374662398,True,0.6373143341408287
n00285,East 34th Street,34.64052,0.9261678327651764,f15,33.338302575013245,33.33830257473511,32.023250577731574,True,1.0390606996878946,True,1.0390606996965632,True,1.0817302858095372
n00286,East 34th Street,46.9392,0.8949027602035112,f15,34.16530365161633,34.165303651750044,31.785896644843085,True,1.3738850524684083,True,1.3738850524630313,True,1.4767304041937535
n00287,East 34th Street,49.901856,0.9082053067693295,f15,29.414160967572037,29.414160967346128,27.966568857513135,True,1.6965248832021709,True,1.6965248832152007,True,1.784339589680985
n00288,East 34th Street,49.901856,0.9212481047892108,f15,30.700092852567195,30.700092852512185,28.93590219456579,True,1.625462705915794,True,1.6254627059187066,True,1.7245654088978657
n00289,East 34th Street,50.292,0.8750560240664014,f15,30.709209797122746,30.709209796963485,29.11110886005889,True,1.6376846012075517,True,1.6376846012160449,True,1.7275879198473878
n00290,East 34th Street,60.496704,0.8082321806556619,f15,54.88597583014199,37.44257987799317,36.16480361136199,True,1.1022251692713232,True,1.615719434855419,True,1.6728060976112586
n00291,East 34th Street,83.588352,0.8227102709797851,f15,,,,False,,False,,False,
n00292,East 34th Street,17.913096000000003,0.892336646008751,f15,30.69663433670904,30.696634336541184,29.16165357728584,True,0.5835524443335586,True,0.5835524443367495,True,0.6142688703343148
n00293,East 34th Street,17.754600000000003,0.9021663011273394,f15,30.60866875596314,30.60866875542378,28.841124114171873,True,0.58005136197049,True,0.5800513619807112,True,0.6156001385284354
n00294,East 34th Street,17.913096000000003,0.8749382907821146,f15,30.07264588445082,30.072645884622613,28.981014744978737,True,0.5956607898363223,True,0.5956607898329196,True,0.6180976117512805
n00295,East 34th Street,17.913096000000003,0.8323712050203312,f15,31.84627650041424,30.711797036321542,28.680936079180103,True,0.5624863553441483,True,0.5832643390686303,True,0.6245645522359143
n00296,East 34th Street,64.008404463504,0.8915579693478789,f15,30.42230983830823,30.42230983695257,28.610436497751294,True,2.1039955481257917,True,2.1039955482195487,True,2.2372397033696036
n00297,East 34th Street,17.399508000000004,0.8967856107193763,f15,30.334887250704917,30.334887250709077,28.71128240916196,True,0.573580770424511,True,0.5735807704244325,True,0.6060163998264217
n00298,East 34th Street,16.959072000000003,0.8586844987409894,f15,30.49726598608863,30.49726598645436,28.712336435307776,True,0.5560849948889158,True,0.5560849948822472,True,0.5906545445443201
n00299,East 34th Street,13.149072,0.8363040019753923,f15,30.429331028317236,30.429331027395616,28.782204005117812,True,0.43211833962973434,True,0.432118339642822,True,0.45684729347557756
n00300,East 34th Street,13.142976,0.7685779416921384,f15,30.316774939753792,30.316774940144583,28.726851800499492,True,0.43352157431382565,True,0.43352157430823746,True,0.45751536197821285
n00301,East 34th Street,13.149072,0.6604766710099683,f15,68.29748347253074,31.363882948020745,29.73888823842278,True,0.1925264494597163,True,0.41924247778222845,True,0.4421507587836232
