node_id,osm_name,chain,chain_pos_m,GVI_al,VEI_al,dwell
n00177,East 35th Street,East 35th Street#0,560.0,2.218249012912353,0.9152358676816919,0.253664557914178
n00178,East 35th Street,East 35th Street#0,600.0,10.032333175819694,0.7978598495593883,0.8059833378226655
n00179,East 35th Street,East 35th Street#0,620.0,5.983974656838287,0.8489742232246221,0.5383777942352802
n00180,East 35th Street,East 35th Street#0,640.0,5.230491372820997,0.9061845030684537,0.4218822637118449
n00181,East 35th Street,East 35th Street#0,660.0,3.4115549840583457,0.9088384712669597,0.32449213529323195
n00182,East 35th Street,East 35th Street#0,680.0,4.02350921710806,0.9091001854503467,0.355562379740783
n00183,East 35th Street,East 35th Street#0,700.0,8.893015157237258,0.8944738146074163,0.6270199332777209
n00184,East 35th Street,East 35th Street#0,720.0,1.9309561524106076,0.8303371763153216,0.3528338973450833
n00185,East 35th Street,East 35th Street#0,740.0,2.5472149077155413,0.814481478604311,0.40291401055927484
n00186,East 35th Street,East 35th Street#0,760.0,6.80277433527731,0.8511021068560931,0.5777841651019384
n00187,East 35th Street,East 35th Street#0,780.0,2.9790581935260945,0.87807634759892,0.34583391933007535
n00188,East 35th Street,East 35th Street#0,800.0,4.680359897092066,0.8805203539768214,0.4299467019985029
n00189,East 35th Street,East 35th Street#0,820.0,1.3208933211316949,0.8894921310240214,0.24482890919937117
n00190,East 35th Street,East 35th Street#0,840.0,2.6461355299585034,0.8795407807428537,0.3267240239789928
n00191,East 35th Street,East 35th Street#0,860.0,7.6712693985136005,0.8706328086253785,0.5970536142006868
n00192,East 35th Street,East 35th Street#0,880.0,5.159857393044592,0.8027876187590162,0.5502014635727079
n00193,East 35th Street,East 35th Street#0,900.0,5.941348158189692,0.7974379644721769,0.5961513128513964
n00194,East 35th Street,East 35th Street#0,920.0,1.6647512359256849,0.8926862213877157,0.25800680605625187
n00195,East 35th Street,East 35th Street#0,940.0,1.0160462053649097,0.9067520680072255,0.20442158708500216
n00196,East 35th Street,East 35th Street#0,960.0,2.9313917999613945,0.927956496110391,0.2710147114695631
n00197,East 35th Street,East 35th Street#0,980.0,7.313277686318931,0.9429583329443536,0.4727340567634222
n00198,East 35th Street,East 35th Street#0,1000.0,6.549035973257516,0.9387015778784238,0.4402060575977004
n00199,East 35th Street,East 35th Street#0,1020.0,7.298177446962351,0.9349829329844948,0.48456135585100596
n00200,East 35th Street,East 35th Street#0,1040.0,1.8881133650238822,0.836844734772633,0.3428165944285487
n00201,East 35th Street,East 35th Street#0,1060.0,0.2260062508144538,0.8590602715335354,0.22955343195880873
n00202,East 36th Street,East 36th Street#0,140.0,0.00919310308144105,0.8679152419124012,0.20682161684592015
n00203,East 36th Street,East 36th Street#0,160.0,0.5697326420480007,0.8007174767926164,0.31650949521486627
n00204,East 36th Street,East 36th Street#0,180.0,3.048863024631568,0.854867170115106,0.3800418440809299
n00205,East 36th Street,East 36th Street#0,200.0,4.667320387629725,0.8040624796433224,0.5234915943086664
n00206,East 36th Street,East 36th Street#0,220.0,3.2458887288564213,0.8505773134602514,0.3956165848485228
n00207,East 36th Street,East 36th Street#0,240.0,4.669074665389957,0.846420006919872,0.47398667398303806
n00208,East 36th Street,East 36th Street#0,260.0,4.81344934140725,0.899224062581372,0.41053633989672733
n00209,East 36th Street,East 36th Street#0,280.0,3.2578796861126262,0.8701227220290761,0.3708774639491368
n00210,East 36th Street,East 36th Street#0,300.0,5.48385831193714,0.8178763812780598,0.5499986085772653
