file,node_id,cardinal,seq,street,direction,a_sidewalk_shed,a_sidewalk_shed__crop,scaffolding,scaffolding__crop,construction_scaffolding_on_a_building_facade,construction_scaffolding_on_a_building_facade__crop,a_green_wooden_shed_over_the_sidewalk,a_green_wooden_shed_over_the_sidewalk__crop,metal_scaffold_poles,metal_scaffold_poles__crop,a_construction_fence,a_construction_fence__crop,a_plywood_construction_barrier,a_plywood_construction_barrier__crop,a_street_tree,a_street_tree__crop
east_37th_street/west_to_east/37_n00445_E.jpg,n00445,E,37,east_37th_street,west_to_east,0.16777,2,0.35983,0,0.27303,1,0.10374,2,0.17043,3,0.38297,3,0.20966,2,0.37063,2
east_38th_street/east_to_west/01_n00501_W.jpg,n00501,W,1,east_38th_street,east_to_west,0.15908,1,0.5637,3,0.45639,3,0.10126,1,0.24317,2,0.263,0,0.26543,2,0.36171,3
east_38th_street/east_to_west/02_n00500_W.jpg,n00500,W,2,east_38th_street,east_to_west,0.20173,0,0.14263,1,0.22465,1,0.11901,0,0.17772,3,0.47473,0,0.12003,3,0.42739,0
east_38th_street/east_to_west/03_n00499_W.jpg,n00499,W,3,east_38th_street,east_to_west,0.1933,0,0.34189,2,0.28897,2,0.10575,3,0.14088,3,0.18603,3,0.11769,3,0.31576,0
east_38th_street/east_to_west/04_n00498_W.jpg,n00498,W,4,east_38th_street,east_to_west,0.14994,0,0.41309,2,0.36777,2,0.08465,0,0.18136,2,0.12931,2,0.11148,0,0.31188,3
east_38th_street/east_to_west/05_n00497_W.jpg,n00497,W,5,east_38th_street,east_to_west,0.17524,3,0.25838,1,0.24637,1,0.09862,3,0.20094,2,0.19214,0,0.1105,2,0.45861,0
east_38th_street/east_to_west/06_n00496_W.jpg,n00496,W,6,east_38th_street,east_to_west,0.28722,1,0.30886,1,0.30014,1,0.22456,1,0.10413,1,0.14937,1,0.10956,1,0.41354,2
east_38th_street/east_to_west/07_n00495_W.jpg,n00495,W,7,east_38th_street,east_to_west,0.19557,3,0.53803,3,0.27046,2,0.10937,0,0.18522,1,0.11912,3,0.21382,0,0.54056,2
east_38th_street/east_to_west/08_n00494_W.jpg,n00494,W,8,east_38th_street,east_to_west,0.30323,3,0.40319,3,0.32969,3,0.20059,2,0.2389,3,0.17226,2,0.17205,2,0.35097,3
east_38th_street/east_to_west/09_n00493_W.jpg,n00493,W,9,east_38th_street,east_to_west,0.18135,2,0.31432,2,0.29226,3,0.13116,2,0.17029,2,0.15923,3,0.14792,3,0.39246,3
east_38th_street/east_to_west/10_n00492_W.jpg,n00492,W,10,east_38th_street,east_to_west,0.252,0,0.64429,3,0.28928,2,0.15472,0,0.23619,1,0.27473,3,0.10875,3,0.35664,3
east_38th_street/east_to_west/11_n00491_W.jpg,n00491,W,11,east_38th_street,east_to_west,0.16841,3,0.45123,1,0.19455,3,0.10136,3,0.22039,3,0.20845,3,0.18683,0,0.46685,2
east_38th_street/east_to_west/12_n00490_W.jpg,n00490,W,12,east_38th_street,east_to_west,0.1823,0,0.52007,3,0.22931,3,0.1575,3,0.2413,3,0.13954,3,0.09688,3,0.3725,0
east_38th_street/east_to_west/13_n00489_W.jpg,n00489,W,13,east_38th_street,east_to_west,0.21821,1,0.6435,3,0.36218,3,0.11849,1,0.21877,3,0.09696,3,0.17458,2,0.34532,3
east_38th_street/east_to_west/14_n00488_W.jpg,n00488,W,14,east_38th_street,east_to_west,0.23323,0,0.27089,1,0.19424,0,0.13118,1,0.22622,0,0.18126,1,0.11119,3,0.33246,1
east_38th_street/east_to_west/15_n00487_W.jpg,n00487,W,15,east_38th_street,east_to_west,0.25321,2,0.23864,2,0.18974,0,0.14511,2,0.14659,2,0.27867,0,0.13432,2,0.49737,0
east_38th_street/east_to_west/16_n00486_W.jpg,n00486,W,16,east_38th_street,east_to_west,0.17629,3,0.28901,3,0.17126,3,0.11007,1,0.20288,3,0.21866,0,0.14248,3,0.30272,1
east_38th_street/east_to_west/17_n00485_W.jpg,n00485,W,17,east_38th_street,east_to_west,0.2342,3,0.30421,0,0.30795,0,0.14701,2,0.3386,0,0.15972,0,0.17072,3,0.36561,2
east_38th_street/east_to_west/18_n00484_W.jpg,n00484,W,18,east_38th_street,east_to_west,0.21735,2,0.4844,1,0.2782,1,0.10897,3,0.18391,1,0.16446,3,0.1447,3,0.41471,0
east_38th_street/east_to_west/19_n00483_W.jpg,n00483,W,19,east_38th_street,east_to_west,0.27533,3,0.42717,2,0.35659,2,0.16831,1,0.31092,2,0.27093,0,0.1754,3,0.2879,3
east_38th_street/east_to_west/20_n00482_W.jpg,n00482,W,20,east_38th_street,east_to_west,0.20255,2,0.27039,1,0.21877,2,0.15657,3,0.18297,1,0.27415,2,0.2383,2,0.5981,2
east_38th_street/east_to_west/21_n00481_W.jpg,n00481,W,21,east_38th_street,east_to_west,0.20378,3,0.47058,3,0.37181,3,0.17949,1,0.23593,3,0.24652,2,0.33588,2,0.40947,3
east_38th_street/east_to_west/22_n00480_W.jpg,n00480,W,22,east_38th_street,east_to_west,0.22443,2,0.37617,2,0.29595,1,0.22372,2,0.2073,1,0.41784,2,0.22884,2,0.34731,2
east_38th_street/east_to_west/23_n00479_W.jpg,n00479,W,23,east_38th_street,east_to_west,0.19022,3,0.18227,3,0.23085,0,0.11669,3,0.13318,2,0.12492,3,0.12755,1,0.45072,1
east_38th_street/east_to_west/24_n00478_W.jpg,n00478,W,24,east_38th_street,east_to_west,0.23488,3,0.2301,3,0.20398,2,0.15751,1,0.20069,3,0.3111,1,0.14001,2,0.41031,1
