node_id,street_axis_deg,GVI,VEI,osm_name,typology,northing_m,lat,lon,chain,chain_pos_m,street_segment,cross_dist,along_dist,mapping_id,scaffold_frac,SVF_band,BVF_band,sky_of_pair,sky_veg_residual,face_id
n00035,57.67926919037855,0.9253365954702167,0.5539720459261379,1st Avenue,avenue_secondary,565.6195970456481,40.74807200000001,-73.97026,1st_avenue,829.3883030979122,1st_avenue,472.941462918128,222.2330547711691,1st_avenue_036,0.0448169543142284,0.22025353273274867,0.2735575181689505,0.4460279540738621,0.22577442134111342,f1
n00046,28.55461316895128,1.6166757762139865,0.6452019629575126,2nd Avenue,avenue_secondary,16.542081356201606,40.74477699999999,-73.975898,2nd_avenue,0.0,2nd_avenue,234.130710703842,-328.5069704092237,2nd_avenue_001,0.0447362454142421,0.17274726943648988,0.31414175305210773,0.35479803704248736,0.18205076760599748,f2
n00047,28.554613168951285,2.8196744551016804,0.6627843205698145,2nd Avenue,avenue_secondary,36.4636925093879,40.744934,-73.975782,2nd_avenue,19.992688744873803,2nd_avenue,234.2414491125276,-308.51134886941054,2nd_avenue_002,0.0067955832928419,0.1579513031851025,0.31044715163171605,0.3372156794301855,0.17926437624508298,f2
n00048,28.55461316895128,2.3430579722871925,0.7359616330858161,2nd Avenue,avenue_secondary,56.44109810160069,40.745092,-73.975667,2nd_avenue,40.04119406348262,2nd_avenue,234.2245274751682,-288.4595207786479,2nd_avenue_003,0.0736477416940033,0.13086875674468348,0.36477419952014456,0.2640383669141839,0.13316961016950044,f2
n00049,28.591096581423912,2.719607008424361,0.7585139405500291,2nd Avenue,avenue_secondary,76.36270925478698,40.74524900000001,-73.975551,2nd_avenue,60.033861815058,2nd_avenue,234.3352658838537,-268.46389923883464,2nd_avenue_004,0.0267162472409836,0.11930816644718575,0.3747500277149623,0.24148605944997092,0.12217789300278517,f2
n00050,28.622132567663755,3.2765986459111667,0.6439298411407739,2nd Avenue,avenue_secondary,96.28432040601831,40.745406,-73.975435,2nd_avenue,80.02651910425178,2nd_avenue,234.4460042914902,-248.46827769960296,2nd_avenue_005,0.0205219359704642,0.17158525339759473,0.3103008275571188,0.3560701588592261,0.18448490546163138,f2
n00051,28.569746246257523,2.617360160972993,0.6351836244522436,2nd Avenue,avenue_secondary,116.20593155783064,40.745563,-73.975319,2nd_avenue,100.01916593420711,2nd_avenue,234.5567427005583,-228.47265616047983,2nd_avenue_006,0.013326849322766,0.16921913263364333,0.2946282820542745,0.36481637554775637,0.19559724291411304,f2
n00052,28.554097746216776,4.893580228473653,0.5939905413467659,2nd Avenue,avenue_secondary,136.08665668786034,40.74572,-73.975204,2nd_avenue,119.97057623150755,2nd_avenue,234.5936592566474,-208.51795474175583,2nd_avenue_007,0.0027823959244415,0.16572725485401324,0.2424584445721622,0.4060094586532341,0.24028220379922088,f2
n00053,28.57505447412089,5.941391117834471,0.6266483834946552,2nd Avenue,avenue_secondary,156.10494830185584,40.74587799999999,-73.975088,2nd_avenue,140.06005706185468,2nd_avenue,234.6505594718845,-188.425206529904,2nd_avenue_008,0.0231126509606838,0.1661505986309296,0.2788738536163558,0.37335161650534476,0.20720101787441517,f2
n00054,28.590459628443767,3.921256717425922,0.5725206203927834,2nd Avenue,avenue_secondary,176.0265594550421,40.746035,-73.974972,2nd_avenue,160.0526724405268,2nd_avenue,234.76129788057003,-168.42958499009077,2nd_avenue_009,0.0372324511408805,0.19127933103136938,0.2561792837142675,0.4274793796072166,0.23620004857584723,f2
