node_id,street,street_pos_m,seg_id
n00454,East 41st Street,779.9383173035217,s16
n00455,East 41st Street,799.93825643018,s16
n00456,East 41st Street,819.9381955766564,s16
n00457,East 41st Street,839.9381347234726,s16
n00458,East 41st Street,859.937967346119,s16
n00460,East 42nd Street,0.0,s17
n00461,East 42nd Street,19.996031957843286,s17
n00462,East 42nd Street,39.994830295237534,s17
n00463,East 42nd Street,59.97553770058295,s17
n00464,East 42nd Street,79.94091900551325,s17
n00465,East 42nd Street,99.9393759925266,s17
n00466,East 42nd Street,119.93906799792825,s17
n00467,East 42nd Street,139.93906731776372,s17
n00468,East 42nd Street,159.9390117315187,s17
n00469,East 42nd Street,179.9386765202227,s17
n00470,East 42nd Street,199.93836949990276,s17
n00471,East 42nd Street,219.93825927934765,s17
n00472,East 42nd Street,239.93814905868993,s17
n00473,East 42nd Street,259.93803883813484,s17
n00474,East 42nd Street,279.9379336736791,s17
n00475,East 42nd Street,299.9378500102896,s17
n00476,East 42nd Street,319.9376841679815,s17
n00477,East 42nd Street,339.93730153807076,s17
n00478,East 42nd Street,359.9372456772669,s17
n00479,East 42nd Street,379.93721869907085,s17
n00480,East 42nd Street,399.93719172053716,s17
n00481,East 42nd Street,419.9371647423411,s17
n00482,East 42nd Street,439.93713776414506,s17
n00483,East 42nd Street,459.9371107860516,s17
n00484,East 42nd Street,499.9347369279832,s17
n00485,East 42nd Street,519.9328347362947,s17
n00486,East 42nd Street,539.9309210938584,s17
n00487,East 42nd Street,559.9289175240636,s17
n00488,East 42nd Street,579.9286268076189,s17
n00489,East 42nd Street,599.9286196912791,s17
n00490,East 42nd Street,619.9284851051755,s17
n00491,East 42nd Street,639.9276148680754,s17
n00492,East 42nd Street,659.9267446309751,s17
n00493,East 42nd Street,679.9255915702959,s17
n00494,East 42nd Street,719.9167840767627,s17
n00495,East 42nd Street,739.9157822809881,s17
n00496,East 42nd Street,759.9156888981056,s17
n00497,East 42nd Street,779.9155955152232,s17
n00498,East 42nd Street,799.9155021317979,s17
n00499,East 42nd Street,819.9154087489154,s17
n00500,East 42nd Street,839.9153153654901,s17
n00501,East 42nd Street,859.915219368581,s17
n00502,East 42nd Street,879.915093948131,s17
n00503,East 42nd Street,899.9149685277837,s17
n00504,Lexington Avenue,0.0,s18
n00506,Lexington Avenue,59.99935825753056,s19
n00507,Lexington Avenue,79.99917163723103,s19
n00508,Lexington Avenue,119.99891075426044,s19
n00509,Lexington Avenue,139.998907582631,s19
n00510,Lexington Avenue,159.99890441012732,s19
n00511,Lexington Avenue,199.99879296627842,s19
n00512,Lexington Avenue,219.99869530634115,s19
n00513,Lexington Avenue,239.99859764722265,s19
n00514,Lexington Avenue,279.99841942325077,s19
n00515,Lexington Avenue,299.99830286840216,s19
n00516,Lexington Avenue,319.9981863136091,s19
n00517,Lexington Avenue,359.99739102961814,s19
n00518,Lexington Avenue,379.9973467000485,s19
n00519,Lexington Avenue,399.9973023712976,s19
n00520,Lexington Avenue,439.9161044496477,s19
n00521,Lexington Avenue,459.9160407891251,s19
n00522,Lexington Avenue,479.91598469512513,s19
n00523,Lexington Avenue,519.9142424021799,s19
n00524,Lexington Avenue,539.9142420215609,s19
n00525,Lexington Avenue,559.9142416418161,s19
n00526,Lexington Avenue,599.913132622336,s19
n00527,Lexington Avenue,619.912338545962,s19
n00528,Lexington Avenue,639.9120761886617,s19
n00529,Lexington Avenue,679.9118165836496,s19
n00530,Madison Avenue,0.0,s20
n00531,Madison Avenue,39.99684694581572,s20
n00532,Madison Avenue,59.99653560198391,s20
n00533,Madison Avenue,79.9962242573319,s20
n00534,Madison Avenue,119.99383561645345,s20
n00535,Madison Avenue,139.99378164809175,s20
n00536,Madison Avenue,159.99372767967492,s20
n00537,Madison Avenue,199.9915569734613,s20
n00538,Madison Avenue,219.99111618077825,s20
n00539,Madison Avenue,239.9906753880952,s20
n00540,Madison Avenue,279.9897864317987,s20
n00541,Madison Avenue,299.9897139394999,s20
n00542,Madison Avenue,319.9896414472011,s20
n00543,Madison Avenue,359.98816228606245,s20
n00544,Madison Avenue,379.98743939592055,s20
n00545,Madison Avenue,399.98671650577865,s20
n00546,Madison Avenue,419.98442234252957,s20
n00547,Madison Avenue,439.98417175496314,s20
n00548,Madison Avenue,459.98392116657647,s20
n00549,Madison Avenue,479.9834423715872,s20
n00550,Madison Avenue,519.9797471099288,s20
n00551,Madison Avenue,539.9796871186862,s20
n00552,Madison Avenue,559.9796363005853,s20
n00553,Madison Avenue,579.9795753989607,s20
n00554,Madison Avenue,599.9794569737398,s20
n00555,Madison Avenue,619.9793385485189,s20
n00556,Madison Avenue,639.979220123298,s20
n00557,Park Avenue,0.0,s21
n00594,Park Avenue,6.256521164607591,s21
n00558,Park Avenue,39.949973053495086,s21
n00593,Park Avenue,46.25516523393176,s21
n00559,Park Avenue,59.94997285799457,s21
n00592,Park Avenue,66.25382624452371,s21
n00560,Park Avenue,79.94997204270206,s21
n00591,Park Avenue,86.25248725506032,s21
n00561,Park Avenue,119.94917899543361,s21
n00590,Park Avenue,126.25073121200383,s21
n00562,Park Avenue,139.94879285776324,s21
n00589,Park Avenue,146.2505215228957,s21
n00563,Park Avenue,159.94840671927352,s21
n00588,Park Avenue,166.2503118337322,s21
n00564,Park Avenue,199.9477729618863,s21
n00587,Park Avenue,206.24965451147398,s21
n00565,Park Avenue,219.94776914185968,s21
n00586,Park Avenue,226.24952999335102,s21
n00566,Park Avenue,239.9477653217777,s21
n00585,Park Avenue,246.2494054752834,s21
n00567,Park Avenue,279.94677985348187,s21
n00584,Park Avenue,286.2484979237319,s21
n00568,Park Avenue,299.9467543198165,s21
n00583,Park Avenue,306.2484913204408,s21
n00569,Park Avenue,319.9467287869704,s21
n00582,Park Avenue,326.2484847170943,s21
n00570,Park Avenue,359.94633146326413,s21
n00581,Park Avenue,366.24745840939136,s21
n00571,Park Avenue,379.94626909057604,s21
n00580,Park Avenue,386.2472520169864,s21
n00572,Park Avenue,399.94620671865187,s21
n00573,Park Avenue,439.94140484774346,s21
n00578,Park Avenue,446.2416766387513,s21
n00574,Park Avenue,459.93955874918714,s21
n00577,Park Avenue,466.2413418381951,s21
n00575,Park Avenue,479.6775526755172,s21
n00576,Park Avenue,486.2410070368749,s21
