node_id,eye_green,hard_barrier,soft_buffer,shelter,rest,building,sky,sidewalk,road,vehicle,person,canopy_green,affordance
n00070,7.294787583224698e-05,0.003934464440677489,0.0,0.0008968587521416136,0.0,0.4196611475521443,0.03175671489305016,0.0038427913326064193,0.3422160704480858,0.13107588042653204,0.000996197328691478,0.06045947329276556,0.0008968587521416136
n00071,0.00029771586325468154,0.0,0.0,0.005339040793947625,0.0,0.4209085388776854,0.06700508035413447,0.015464911799578528,0.39326352670149745,0.06694573559129056,0.003353590846907621,0.01908637427053137,0.005339040793947625
n00072,0.0016431558605039273,0.0,0.0,0.011453714211750064,0.0,0.435717914206432,0.0437961846725731,0.024226773553238184,0.3763087492768878,0.0745496417104968,0.0021730961616426695,0.021150454921985636,0.011453714211750064
n00073,0.00045397922457750213,0.00043114819509676216,0.0,0.0,0.0,0.3467640787106712,0.05833039305622838,0.00518312721462126,0.3155239336824915,0.2383257344920048,0.00022036225844531632,0.032859604525703016,0.0
n00074,0.02353432630133603,0.006577083261619443,0.0,0.000641083004744075,0.0,0.41094824340879493,0.06562885495047074,0.0336710299915584,0.37708635264851664,0.03503981024351655,0.0008516216851430202,0.04456134463386275,0.000641083004744075
n00075,0.0006086247413159278,0.0,0.0,0.0,0.0,0.36594754777692445,0.079457629829531,0.020729133703373367,0.42167624123028485,0.017187281577394308,0.005775036402375476,0.07691190455644309,0.0
n00076,0.0002727069353859791,0.0,0.0,0.0,0.0,0.36449879083684705,0.12465223483811369,0.012698659062815464,0.4195970585566987,0.05321586311352,0.005519264176596309,0.015720805493721488,0.0
n00077,0.0005361581518161846,0.0,0.0,0.0,0.0,0.4115495313098558,0.07674130164826436,0.02931145115346337,0.40260738514261035,0.03457450645769535,0.008836781628301425,0.025126516192435448,0.0
n00078,0.0,0.0,0.0,0.0006457939179186257,0.0,0.4390982731053842,0.053845602276484356,0.009031852898757324,0.3368985904826984,0.13658905413035302,0.002279348623341664,0.016799520352967615,0.0006457939179186257
n00079,0.0020565570486832485,0.0,0.0005651920608779228,0.003101362628699827,1.2320057882583066e-05,0.41624072914907856,0.0569318674123585,0.017214108279605424,0.32550766711322937,0.12302835016352164,0.004024928712276297,0.036696009861063965,0.0036788747474603327
n00080,0.0,0.0,0.0,0.0020494460029234123,0.0,0.4792585596368419,0.04592624592970226,0.011668344138019135,0.28777311804791544,0.1612365450954306,0.0017223472504535478,0.005979826435062347,0.0020494460029234123
