node_id,osm_name,dob_nearest_m,dob_n_within,dob_shed,dob_any,dob_types
n00257,Tunnel Exit Street,49.7,0,False,False,
n00258,Tunnel Exit Street,43.5,0,False,False,
n00259,Tunnel Exit Street,42.7,0,False,False,
n00260,Tunnel Exit Street,50.5,0,False,False,
n00261,Tunnel Exit Street,63.9,0,False,False,
n00262,Tunnel Exit Street,61.5,0,False,False,
n00263,Tunnel Exit Street,61.0,0,False,False,
n00264,Tunnel Exit Street,66.9,0,False,False,
n00265,Tunnel Exit Street,77.6,0,False,False,
n00266,Tunnel Exit Street,83.3,0,False,False,
n00313,East 34th Street,18.9,8,True,True,Construction Fence|Sidewalk Shed|Suspended Scaffold
n00312,East 34th Street,29.7,4,True,True,Sidewalk Shed|Suspended Scaffold
n00311,East 34th Street,46.0,0,False,False,
n00310,East 34th Street,53.7,0,False,False,
n00309,East 34th Street,33.7,0,False,False,
n00308,East 34th Street,13.8,3,True,True,Sidewalk Shed|Supported Scaffold|Suspended Scaffold
n00307,East 34th Street,6.5,5,True,True,Construction Fence|Sidewalk Shed|Supported Scaffold|Suspended Scaffold
n00306,East 34th Street,0.7,5,True,True,Construction Fence|Sidewalk Shed|Supported Scaffold|Suspended Scaffold
n00305,East 34th Street,19.5,2,False,True,Construction Fence
n00304,East 34th Street,39.4,0,False,False,
n00303,East 34th Street,30.2,0,False,False,
n00302,East 34th Street,14.1,1,False,True,Supported Scaffold
n00301,East 34th Street,16.9,1,False,True,Supported Scaffold
n00300,East 34th Street,34.3,0,False,False,
n00299,East 34th Street,53.6,0,False,False,
n00298,East 34th Street,73.2,0,False,False,
n00297,East 34th Street,84.5,0,False,False,
n00296,East 34th Street,83.0,0,False,False,
n00295,East 34th Street,85.7,0,False,False,
n00294,East 34th Street,72.1,0,False,False,
n00293,East 34th Street,54.5,0,False,False,
n00292,East 34th Street,39.2,0,False,False,
n00291,East 34th Street,29.7,5,True,True,Sidewalk Shed|Supported Scaffold|Suspended Scaffold
n00290,East 34th Street,31.4,0,False,False,
n00289,East 34th Street,44.1,0,False,False,
n00288,East 34th Street,60.9,0,False,False,
n00287,East 34th Street,79.2,0,False,False,
n00286,East 34th Street,69.1,0,False,False,
n00285,East 34th Street,53.1,0,False,False,
n00284,East 34th Street,40.1,0,False,False,
n00283,East 34th Street,34.5,0,False,False,
n00282,East 34th Street,40.3,0,False,False,
n00281,East 34th Street,20.8,1,True,True,Sidewalk Shed
n00280,East 34th Street,0.8,1,True,True,Sidewalk Shed
n00279,East 34th Street,19.2,1,True,True,Sidewalk Shed
n00278,East 34th Street,39.2,0,False,False,
n00277,East 34th Street,38.7,0,False,False,
n00276,East 34th Street,20.9,2,True,True,Sidewalk Shed|Suspended Scaffold
n00275,East 34th Street,13.4,2,True,True,Sidewalk Shed|Suspended Scaffold
n00274,East 34th Street,26.8,2,True,True,Sidewalk Shed|Suspended Scaffold
n00273,East 34th Street,45.4,0,False,False,
n00272,East 34th Street,31.5,0,False,False,
n00271,East 34th Street,11.7,6,True,True,Construction Fence|Sidewalk Shed|Supported Scaffold
n00270,East 34th Street,5.5,6,True,True,Construction Fence|Sidewalk Shed|Supported Scaffold
n00269,East 34th Street,10.5,6,True,True,Construction Fence|Sidewalk Shed|Supported Scaffold
n00268,East 34th Street,16.6,7,True,True,Sidewalk Shed|Suspended Scaffold
n00267,East 34th Street,14.9,7,True,True,Sidewalk Shed|Suspended Scaffold
n00360,East 35th Street,64.0,0,False,False,
n00359,East 35th Street,63.6,0,False,False,
n00358,East 35th Street,69.3,0,False,False,
n00357,East 35th Street,79.4,0,False,False,
n00356,East 35th Street,92.8,0,False,False,
n00355,East 35th Street,90.3,0,False,False,
n00354,East 35th Street,86.4,0,False,False,
n00353,East 35th Street,84.1,0,False,False,
n00352,East 35th Street,84.4,0,False,False,
n00351,East 35th Street,88.2,0,False,False,
n00350,East 35th Street,83.5,0,False,False,
n00349,East 35th Street,75.7,0,False,False,
n00348,East 35th Street,72.7,0,False,False,
n00347,East 35th Street,75.2,0,False,False,
n00346,East 35th Street,57.1,0,False,False,
n00345,East 35th Street,37.1,0,False,False,
n00344,East 35th Street,17.1,5,True,True,Sidewalk Shed|Supported Scaffold|Suspended Scaffold
n00343,East 35th Street,3.0,6,True,True,Sidewalk Shed|Supported Scaffold|Suspended Scaffold
n00342,East 35th Street,8.3,6,True,True,Sidewalk Shed|Supported Scaffold|Suspended Scaffold
