node_id,osm_name,chain,chain_pos_m,lat,lon,typology,northing_m,easting_m,in_study,in_cleaned,cleaned_street,cleaned_direction,cleaned_id,street_segment,cross_dist,along_dist,mapping_id,is_tunnel,is_bridge,osm_heading_fwd,osm_heading_rev,usable,exclude_reason
n00627,East 41st Street,east_41st_street#1,240.0063917921757,40.749395,-73.973243,mid_block,571.564845234301,638.9479501722839,True,True,east_41st_street,Eastbound,east_41st_street_033,east_41st_street,181.50294908428788,228.6669224199847,east_41st_street_033,0.0,0.0,298.7,118.7,True,
n00626,East 41st Street,east_41st_street#1,260.0479763988885,40.74948199999999,-73.973451,mid_block,571.4717528905032,618.9433958220137,True,True,east_41st_street,Eastbound,east_41st_street_032,east_41st_street,161.46408108175018,228.6055578216233,east_41st_street_032,0.0,0.0,298.7,118.7,True,
n00625,East 41st Street,east_41st_street#1,279.9621447621548,40.749568,-73.973658,mid_block,571.3228661070981,599.0661926626597,True,True,east_41st_street,Eastbound,east_41st_street_031,east_41st_street,141.55287312459083,228.4879866710409,east_41st_street_031,0.0,0.0,298.7,118.7,True,
n00624,East 41st Street,east_41st_street#1,300.00368812257085,40.74965499999999,-73.973866,mid_block,571.2297737633005,579.0616383123895,True,True,east_41st_street,Eastbound,east_41st_street_030,east_41st_street,121.51400512205312,228.42662207267944,east_41st_street_030,0.0,0.0,298.9,118.9,True,
n00623,East 41st Street,east_41st_street#1,320.02520941854056,40.749743,-73.974073,mid_block,571.2742479056354,559.0772534417003,True,True,east_41st_street,Eastbound,east_41st_street_029,east_41st_street,101.49512077723168,228.50330426755448,east_41st_street_029,0.0,0.0,299.0,119.0,True,
n00622,East 41st Street,east_41st_street#1,339.9927764453919,40.74983,-73.97428,mid_block,571.2220415843075,539.1464594284886,True,True,east_41st_street,Eastbound,east_41st_street_028,east_41st_street,81.5300746272904,228.4828597902823,east_41st_street_028,0.0,0.0,299.0,119.0,True,
n00621,East 41st Street,east_41st_street#1,360.0142563929466,40.749918,-73.974487,mid_block,571.2665157259555,519.1620745581803,True,True,east_41st_street,Eastbound,east_41st_street_027,east_41st_street,61.51119028285152,228.5595419844672,east_41st_street_027,0.0,0.0,299.0,119.0,True,
n00620,East 41st Street,east_41st_street#1,379.9817819648397,40.750005,-73.974694,mid_block,571.2143094040464,499.2312805439203,True,True,east_41st_street,Eastbound,east_41st_street_026,east_41st_street,41.54614413186116,228.53909750661347,east_41st_street_026,0.0,0.0,299.2,119.2,True,
n00619,East 41st Street,east_41st_street#1,400.0576232031472,40.75009399999999,-73.974901,mid_block,571.3554640071906,479.1933048187061,True,True,east_41st_street,Eastbound,east_41st_street_025,east_41st_street,21.4734215939738,228.71290637283693,east_41st_street_025,0.0,0.0,299.5,119.5,True,
n00618,East 41st Street,east_41st_street#1,420.0053898430628,40.750182,-73.975107,mid_block,571.4408241713083,459.2826802854562,True,True,east_41st_street,Eastbound,east_41st_street_024,east_41st_street,1.5283591017487907,228.8305086888012,east_41st_street_024,0.0,0.0,299.0,119.0,True,
n00617,East 41st Street,east_41st_street#1,440.0267866413492,40.75026999999999,-73.975314,mid_block,571.4852983122694,439.2982954155287,True,True,east_41st_street,Eastbound,east_41st_street_023,east_41st_street,-18.490525242690083,228.90719088298613,east_41st_street_023,0.0,0.0,298.8,118.8,True,
n00616,East 41st Street,east_41st_street#1,459.99422885158407,40.750357000000015,-73.975521,mid_block,571.4330919931082,419.3675013997456,True,True,east_41st_street,Eastbound,east_41st_street_022,east_41st_street,-38.45557139368047,228.8867464051324,east_41st_street_022,0.0,0.0,298.9,118.9,True,
n00615,East 41st Street,east_41st_street#1,480.03558421737466,40.75044400000001,-73.975729,mid_block,571.3399996493105,399.3629470494754,True,True,east_41st_street,Eastbound,east_41st_street_021,east_41st_street,-58.49443939621817,228.825381806771,east_41st_street_021,0.0,0.0,298.9,118.9,True,
n00614,East 41st Street,east_41st_street#1,500.0029851977874,40.750531,-73.975936,mid_block,571.2877933267146,379.4321530355962,True,True,east_41st_street,Eastbound,east_41st_street_020,east_41st_street,-78.45948554720854,228.80493732891728,east_41st_street_020,0.0,0.0,298.9,118.9,True,
n00613,East 41st Street,east_41st_street#1,520.0242995261358,40.75061900000001,-73.976143,mid_block,571.3322674696306,359.4477681659553,True,True,east_41st_street,Eastbound,east_41st_street_019,east_41st_street,-98.47836989059836,228.8816195236837,east_41st_street_019,0.0,0.0,298.9,118.9,True,
