node_id,green_eye,green_canopy,green_ground,articulation,barrier,walkable,affordance,VEI,green_eye_n,articulation_n,barrier_n,affordance_n,enclosure,openness,G,M,P,SIM
n00330,0.0011119701361345707,0.02578512876495575,0.0034150923188462482,0.0031743486775954047,0.0,0.1485427320597172,0.00019923727435531335,0.9171241853311181,0.2840031815221872,0.5380727720108686,0.0,0.0428372933820691,0.3040296560474043,1.0,0.1717679458408508,0.5599373326227657,0.09569001272089314,0.2747581255492967
n00331,0.0038703929696033514,0.12085649637337717,0.010462370342622124,0.001041557702290433,0.005081302299460774,0.15402283693794566,0.0034032078355752914,0.9044711589744877,0.6873960564107309,0.22385852767267578,0.44036111370089226,0.5266150016430582,0.34561232623133875,0.5596388862991077,0.41662258198348734,0.356505136752749,0.34031891929050195,0.3716036163686586
n00332,0.0011739451666239614,0.03058685506049425,0.004229845199867951,0.0018632230498133908,0.0,0.08368724761929373,0.0013173244377921054,0.902567864291418,0.29721150408513264,0.3644974150626694,0.0,0.2513462585489096,0.35175645855938587,1.0,0.18001884053102676,0.5182766786956886,0.16751675308410166,0.2875182382678799
n00333,0.0033256142845952638,0.031060043769511915,0.011483872487409893,0.002250347911072985,0.0,0.07314636751508027,0.013002625999343341,0.9000893484427658,0.6318060000790506,0.4216234326545598,0.0,0.9425760613602783,0.3597140530505726,1.0,0.3836771490423943,0.541453822649325,0.5078612144376793,0.4767241929131255
n00334,9.555808492771083e-05,0.04426400701878037,0.0002544838506324932,0.0,0.0033073399500272646,0.1893146868139911,0.003030150726260233,0.9118725275704983,0.02830120710116879,0.0,0.3146424579457969,0.4861726269436928,0.3214440841307565,0.6853575420542031,0.01708251780095427,0.29991701916585334,0.33774365687884195,0.2162360791470739
n00335,0.0020720746946712694,0.030067262459541434,0.00997104837322746,0.0,0.0,0.015725221089068275,0.005134929556550463,0.8154446190269499,0.4634163009107285,0.0,0.0,0.6764455028009226,0.6019787693077698,1.0,0.2820381998957281,0.490791507723108,0.34608536194499545,0.3720623549550217
n00336,0.0038356952356334855,0.028724608933635012,0.009073389607546693,0.003083854397807604,0.0,0.17018535199783827,0.0,0.7761071199055406,0.6841202519301663,0.5277892240394063,0.0,0.0,0.6950594333498697,1.0,0.4141015070011185,0.7127500017537401,0.08509267599891913,0.4040825960387579
n00337,0.0015271892054911456,0.02195245402524851,0.0035080622155633187,0.0007377810845601598,0.00017520216065277644,0.0699252301775387,0.0020777067728969165,0.8426147455199936,0.36797586155144835,0.1643194454227278,0.01981529701822149,0.36654782933418883,0.5304605446090801,0.9801847029817785,0.22218874181709433,0.5147421994870314,0.21823652975586377,0.3174271528679675
n00338,0.007412128928251753,0.01843025396992032,0.018504825804843226,0.00011336568576918922,0.0016689508014059852,0.07724383270758954,0.0017798924319719104,0.9137969479058394,0.8921371753393403,0.027205968158147353,0.1735806255035902,0.3237056290735071,0.315088343615248,0.8264193744964098,0.5426842355255415,0.3421622699255532,0.20047473089054832,0.36358285034799764
n00339,7.986158314936522e-05,0.007968044686982895,0.00022561390779871543,0.0015677907614823885,0.002397568192384238,0.1957097951129023,0.010502389034026517,0.8811607462194425,0.023708002959752172,0.31713476828633336,0.23958174786308006,0.9005274244208982,0.41886594216575096,0.7604182521369199,0.014315047338970788,0.46864810880074703,0.5481186097669002,0.3404001332225737
n00340,2.4387678489522844e-05,0.011902440245561724,5.9299211381951584e-05,0.0006158148956658782,0.003317126670446918,0.09791240639198046,0.018039773555813075,0.8331724274889639,0.0073002404732743775,0.1391485894337754,0.31540825122902416,0.981016676299191,0.5559845342444443,0.6845917487709758,0.004403863968517407,0.44224375719234305,0.5394645413455857,0.32546105226681243
n00341,0.0,0.04555612329795666,0.0,0.004708759442140316,0.008342779064920503,0.04867437817462252,0.0013465233175683528,0.83752289853782,0.0,0.6819936778839355,0.6144324896153293,0.2561345270506702,0.5443131718505138,0.38556751038467074,0.0,0.5528149335957506,0.15240445261264635,0.23272239744877102
n00342,2.4211680203927596e-05,0.03067209223020263,6.225522256822479e-05,0.005605243650940621,0.0,0.06922285506053663,0.011995524208730146,0.896263273611119,0.007247748293006895,0.7443144168865881,0.0,0.9283517073843444,0.3719016719479977,1.0,0.0043735510648314265,0.6592707146895049,0.4987872812224405,0.3836461460129847
n00343,5.489884665425049e-05,0.04549303479777473,0.00013793858722359776,2.7145834957705494e-06,0.0,0.11048574251349222,0.004192075337743106,0.8954117664582744,0.016358494855336247,0.0006602647927179683,0.0,0.6019580590592966,0.37459813978538836,1.0,0.009870272348091187,0.4000703485916066,0.3562219007863944,0.2529323348930913
n00344,0.001419191751203591,0.0685341646285004,0.0034434583572837867,0.004274159119151944,0.007852239398731113,0.1218787977680599,0.008684979104490344,0.8794054596933286,0.3471324541453231,0.6465247473277528,0.5922096495702374,0.8516976350098265,0.424205988619576,0.40779035042976264,0.20965685583010737,0.4979136446199845,0.4867882163889432,0.39623494511518265
n00345,0.004735322918353872,0.04775798580202027,0.01212765833036542,0.00026299630079989903,0.0,0.10782009520656353,0.024480968085238412,0.8044801551022267,0.7589322378675805,0.0619850508948363,0.0,0.9953904752145937,0.6291673405956959,1.0,0.4602104060526944,0.5233617040514711,0.5516052852105786,0.5112106445143925
n00346,0.0003442860118784354,0.019949623199059633,0.0008821328067837146,0.0005579482193832876,0.0024754475275432274,0.07187070955795737,0.006356096140326638,0.7594473048991129,0.09826722083928363,0.12694251559507364,0.2463168510918542,0.7525968213377869,0.7307483839223469,0.7536831489081458,0.05931318562628366,0.525150021254251,0.41223376544787216,0.3295031327246371
n00347,0.0011804718691342685,0.01840399234901117,0.0027161901952895964,0.008205003027011246,0.002185985362720603,0.08722297716899545,2.957735473868709e-06,0.6469569210439817,0.29858823640342314,0.8641700972010931,0.22097836438804852,0.0006497436774739462,0.9136146534290916,0.7790216356119515,0.18023941792016973,0.8626608042950072,0.0439363604232347,0.36045846644987756
n00348,0.0019329819170327848,0.033879149867544776,0.004229333771971344,0.008275266294425598,0.006298692182118529,0.022228809338903557,1.2110883573719366e-05,0.5305917200912572,0.44051791956939024,0.8664724670416404,0.5130200452472269,0.0026577976668867853,0.9962565866474327,0.4869799547527731,0.2660024852504227,0.8235129868117405,0.012443303502895171,0.3663064207889735
n00349,0.011352197270476117,0.033280660183336044,0.045525215772176685,1.8102005874861138e-05,0.08544644935675248,0.3398952234326383,0.0,0.6285112099308806,0.9669801528213607,0.004394697663309133,0.9999423425815178,0.0,0.9339394756884045,5.765741848218209e-05,0.598398178001687,0.3751283488121405,0.16994761171631914,0.3833304474949653
n00350,0.0030091272421306384,0.039767930677244066,0.008566536996144323,0.0009476807627230438,0.10762147135322489,0.219493559620736,0.0,0.5873810756016343,0.5950777287256994,0.2059265789445135,0.9999954215935493,0.0,0.9694581905068058,4.5784064507392586e-06,0.36047325203387737,0.45985872343491474,0.109746779810368,0.31053072176246166
n00351,0.00011491609750736703,0.02978844591059584,0.00025654424582998044,0.0026663600090525053,0.017409012541276726,0.06383344695680257,0.0009902457991036737,0.675792307292011,0.03393611614296632,0.47730107527731414,0.8631297536052318,0.19555605945601562,0.8763882587878047,0.1368702463947682,0.020464287384111785,0.5518282414608738,0.1296947532064091,0.23186044595080138
n00352,0.007745426653125787,0.047306820133680864,0.02037511486559562,0.0,0.054910471918493915,0.1934587245754469,0.0025097983687223913,0.7610321962911284,0.9024149276214577,0.0,0.9981128893199714,0.42392753107321013,0.7274487699977192,0.0018871106800285586,0.5495990025191129,0.29145128566909484,0.3086931278243285,0.3849113173093281
n00353,0.0021531248646175015,0.033790491718360426,0.005570834561356412,0.0,0.06273193767183752,0.19875476229726954,0.00456911501086298,0.746926736378096,0.476324665756345,0.0,0.9992277444278052,0.6336079741049409,0.756108747446649,0.0007722555721948465,0.28802313327834955,0.30263656287170837,0.4161813682011052,0.33513778256866733
n00354,0.0033984766331648128,0.06603905488075335,0.008858368136440538,0.0,0.05563275626311471,0.19344226971712078,0.0014844895829827299,0.8011807986193833,0.6397784502094922,0.0,0.9982623447845828,0.27834840543929684,0.637160506171962,0.0017376552154172442,0.38741041738027154,0.25529861627263906,0.2358953375782088,0.29381354668007215
n00355,0.0010523307642128423,0.05054685801948375,0.0027850062460609204,0.0003222154460530346,0.07551305575364281,0.17926299897754933,0.0022118800720678897,0.779960078490482,0.27105831472820596,0.07540358958215843,0.9998206638359973,0.3849520358037013,0.6864894178064127,0.00017933616400267471,0.16374899133534793,0.3010318575173212,0.28210751739062534,0.24811065077364067
n00356,0.0001311551379802252,0.05695293362375022,0.000514709239170838,0.005278277432060974,0.0333992231430997,0.40689109483572805,0.006906540520906073,0.7883577736973686,0.03863791437972475,0.7231426602214261,0.9779703653749301,0.7807833402619315,0.6673991773931887,0.022029634625069905,0.023388632323503182,0.525567010691042,0.5938372175488298,0.3773555303091488
n00357,0.0022291218950467686,0.06152701931106032,0.005323562199389091,6.875776990952938e-05,0.0248404995580664,0.21855621813883247,0.011478312836957326,0.8450838438810647,0.4881460119676392,0.016590231855198923,0.9414374147104445,0.9197276515359207,0.5236685627690758,0.05856258528955549,0.29501703206033913,0.22991465257933882,0.5691419348373766,0.36399446474803143
n00358,0.002253240230210413,0.03843083901438009,0.0060254668063814245,0.0018689508062703039,0.03637493467201984,0.11371366604529416,0.0007543498544730133,0.8752664092090611,0.4918415499752994,0.36538244432487155,0.9843188775942555,0.15275592616256795,0.4367004884773501,0.015681122405744485,0.2975151167077322,0.30648433150608123,0.13323479610393105,0.246262451791933
n00359,0.000535353775715399,0.00854349202057923,0.0012168295912081217,0.008253153781492929,0.0030055093504068628,0.025391032013385224,4.653015905861818e-05,0.7525813792563882,0.14857284045425767,0.8657521294343987,0.29059943548042855,0.010172787765080238,0.7448105874117623,0.7094005645195715,0.08963043610903784,0.7782876213966373,0.01778190988923273,0.29317729360141
n00361,0.00017878431662369626,0.01519888739903806,0.000391934662044816,0.0,0.0,0.03288980861639129,0.0003951497896955585,0.6223989674502527,0.05229673672228219,0.0,0.0,0.08316995493338908,0.9400739710684479,1.0,0.031534815898187234,0.6260295884273792,0.058029881774890185,0.23646146257213255
