node_id,GVI_E_east,GVI_N_uptown,GVI_S_downtown,GVI_W_west,GVI_full360,VEI_E_east,VEI_N_uptown,VEI_S_downtown,VEI_W_west,VEI_full360,osm_name,typology,northing_m,lat,lon
n00663,0.26099931549716515,0.1327228326682203,0.20851127757260512,0.08023479474366021,0.1706170551204127,0.9199797418352768,0.9427920627554404,0.9404581951285879,0.9604086691712511,0.9415575826253912,East 42nd Street,mid_block,654.3954057376774,40.75092500000001,-73.974835
n00664,0.6966597315243963,0.05330885679860287,0.6979794529234721,0.054628578197678884,0.3756441548610376,0.8216009795097963,0.8874119123625948,0.9059604775159833,0.9443311141570143,0.8979945833554074,East 42nd Street,mid_block,654.3509315953424,40.750837,-73.974628
n00665,0.021344296292714716,0.018433013664270356,0.16243708539139173,0.1595258027629474,0.09043504952783106,0.8841707082526736,0.8728658512707288,0.8930822303433452,0.882027568750262,0.8830953691589569,East 42nd Street,mid_block,654.5407044013232,40.750751,-73.97442
n00666,0.24716274397707802,0.23767977966455453,0.1174112408873731,0.10792827657484964,0.17754551027596382,0.9302663297434483,0.9593276576521172,0.9091952290353973,0.9379876464022961,0.934094851010616,East 42nd Street,mid_block,654.7304772073039,40.750665000000005,-73.974212
n00667,0.18403739114583054,0.2802799681613057,0.0,0.09624257701547509,0.1401399840806528,0.9237994433456376,0.9641835102148836,0.9168958716619138,0.9587764192377958,0.9415786178584483,East 42nd Street,mid_block,655.0578164966694,40.75058,-73.974003
n00668,0.04302333717449631,0.05645768243523126,0.04180780925982911,0.055242154520564066,0.04913274584753019,0.91447229087556,0.946114004915711,0.9293529950191627,0.9600254560724407,0.9379232255049039,East 42nd Street,mid_block,655.385155786722,40.750495,-73.973794
n00669,0.0,0.008718730922020437,0.0,0.008718730922020437,0.004359365461010218,0.900919528764755,0.9349278686961945,0.9239152068419911,0.9585239694513702,0.9295127854924674,East 42nd Street,mid_block,655.7124950760874,40.750409999999995,-73.973585
n00670,0.0,0.0,0.0,0.0,0.0,0.9104559249648126,0.9405602486920812,0.9297079200351577,0.9594648439968535,0.9354760428844795,East 42nd Street,mid_block,655.9022678820681,40.750324,-73.973377
n00671,0.0,0.0,0.0,0.0,0.0,0.9075484511317529,0.943093348259933,0.9124284727075032,0.9515021386067276,0.9295575599119971,East 42nd Street,mid_block,655.9544742032901,40.750237,-73.97317
n00672,0.14270850661303713,0.00011736072596653714,0.2070033775134197,0.0644122316263491,0.10356036911969314,0.8940589067028486,0.8750961407051938,0.9155946880644008,0.9146000216938,0.9027562766609429,East 42nd Street,mid_block,656.0475665464008,40.75015,-73.972962
n00673,0.8709725520493924,0.1654890919681265,0.7362432338093062,0.030759773728040448,0.4508661628887165,0.9051587459012356,0.933347152232905,0.9243534989926423,0.9520807976603579,0.9286923030127101,East 42nd Street,mid_block,656.3340198152516,40.750065000000006,-73.972754
n00674,3.1315274863162887,3.342163456248556,0.004928647424035067,0.215564617356302,1.673546051836296,0.8629358457643121,0.9403756341480409,0.8789975378630448,0.9542846036734787,0.9100503576869678,East 42nd Street,mid_block,656.5646786418531,40.749979,-73.97254500000001
n00675,0.7486827337951376,1.7587385078564592,0.20617695291200488,1.2162327269733262,0.9824577303842321,0.8045755983117611,0.9080505558218863,0.8300580637913597,0.9307293351499478,0.8681975296282565,East 42nd Street,mid_block,656.7135654265262,40.74989300000001,-73.972338
