node_id,osm_name,d
n00387,East 36th Street,404.9178986325748
n00388,East 36th Street,421.8472964758695
n00389,East 36th Street,439.11861335218515
n00390,East 36th Street,456.5282113935965
n00391,East 36th Street,473.9422467322271
n00392,East 36th Street,490.8712025641746
n00393,East 36th Street,508.02524702929645
n00394,East 36th Street,519.4816442169633
n00395,East 36th Street,528.978311961839
n00396,East 36th Street,538.9333671919823
n00397,East 36th Street,551.6628610784073
n00398,East 36th Street,562.8381261111255
n00399,East 36th Street,573.9808171217271
n00400,East 36th Street,585.4001758684612
n00401,East 36th Street,597.757886663023
n00402,East 36th Street,610.5200361281408
n00403,East 36th Street,623.6617983399266
n00404,East 36th Street,637.1596865167181
n00405,East 36th Street,650.9915508033531
n00406,East 36th Street,665.1614227672768
n00407,East 36th Street,679.6016742068224
n00408,East 37th Street,332.7705393315491
n00409,East 37th Street,325.35829460997303
n00410,East 37th Street,318.9193728274031
n00411,East 37th Street,313.73820497725103
n00412,East 37th Street,309.7625758499733
n00413,East 37th Street,305.11958300666396
n00414,East 37th Street,301.65993602055426
n00415,East 37th Street,299.3613308500153
n00416,East 37th Street,298.1882730067548
n00417,East 37th Street,298.45881293784834
n00418,East 37th Street,300.15821168519255
n00419,East 37th Street,303.1661283683572
n00420,East 37th Street,307.44416327456094
n00421,East 37th Street,312.9254995890877
n00422,East 37th Street,319.5850577828159
n00423,East 37th Street,327.32907026890865
n00424,East 37th Street,336.1529655300621
n00425,East 37th Street,345.84162035300056
n00426,East 37th Street,356.4614186978609
n00427,East 37th Street,367.66738640693586
n00428,East 37th Street,379.6694566926306
n00429,East 37th Street,382.62376810972984
n00430,East 37th Street,383.99076550009113
n00431,East 37th Street,386.4217939304335
n00432,East 37th Street,389.59637034439965
n00433,East 37th Street,393.86844018189055
n00434,East 37th Street,396.98833020972216
n00435,East 37th Street,400.93109603781306
n00436,East 37th Street,408.1530836971805
n00437,East 37th Street,418.64631874406126
n00438,East 37th Street,428.4447895555408
n00439,East 37th Street,438.0466674294148
n00440,East 37th Street,448.2278667718949
n00441,East 37th Street,459.05731055259264
n00442,East 37th Street,470.6910181967186
n00443,East 37th Street,482.7745538720035
n00444,East 37th Street,495.1680382883694
n00445,East 37th Street,508.1527806008796
n00446,East 37th Street,521.475199438717
n00447,East 37th Street,535.2334460862262
n00448,East 37th Street,549.2721695661685
n00449,East 37th Street,563.6701949043652
n00451,East 37th Street,593.6162266120184
n00452,East 37th Street,609.0070259397182
n00453,East 37th Street,624.69031703683
n00454,East 37th Street,640.5819154967494
n00455,East 38th Street,307.1261277065553
n00456,East 38th Street,310.5093356456729
n00457,East 38th Street,309.0929201960303
n00458,East 38th Street,300.0486766572464
n00459,East 38th Street,291.9556482045931
n00460,East 38th Street,285.1127101517735
n00461,East 38th Street,279.46074545174645
n00462,East 38th Street,275.2873362788266
n00463,East 38th Street,272.9775767979197
n00464,East 38th Street,272.032314425312
n00465,East 38th Street,272.4159967157035
n00466,East 38th Street,274.0243414345952
n00467,East 38th Street,277.0397912742639
n00468,East 38th Street,281.4740327956691
n00469,East 38th Street,287.3401688753438
n00470,East 38th Street,294.343136565162
n00471,East 38th Street,302.50419013485987
n00472,East 38th Street,310.7958155144824
n00473,East 38th Street,310.58745513011604
n00474,East 38th Street,307.68734904498604
n00475,East 38th Street,305.8009969008497
n00476,East 38th Street,305.12200453467983
n00477,East 38th Street,305.71228047110367
n00478,East 38th Street,307.7441820790452
n00479,East 38th Street,311.05414031567335
n00480,East 38th Street,315.6228132294381
n00481,East 38th Street,321.3509611834176
n00482,East 38th Street,328.2135327109115
n00483,East 38th Street,336.1150047984648
n00484,East 38th Street,344.88585047096836
n00485,East 38th Street,354.5715006428185
n00486,East 38th Street,365.09322871167956
n00487,East 38th Street,376.39087304530096
n00488,East 38th Street,388.49085285471926
n00489,East 38th Street,401.0078971040279
n00490,East 38th Street,414.32056184000334
n00491,East 38th Street,428.0714536811847
n00492,East 38th Street,442.1972838238248
n00493,East 38th Street,456.83848156130955
n00494,East 38th Street,471.9003951424887
n00495,East 38th Street,487.28920690704564
n00496,East 38th Street,502.932231953703
n00497,East 38th Street,518.9743540735514
n00498,East 38th Street,535.248783014525
n00499,East 38th Street,551.8048332548994
n00500,East 38th Street,568.5853117255476
n00501,East 38th Street,585.4326786056546
n00502,East 39th Street,229.66295144603055
n00503,East 39th Street,233.91008115357187
