node_id,osm_name,hw,snap_m,is_pedestrian,fov
n00412,Cloak Lane,unclassified,0.1068573121418988,False,90
n00413,Cloak Lane,unclassified,0.580280130571884,False,90
n00414,Cloak Lane,unclassified,1.4060397526637565,False,90
n00415,Coleman Street,tertiary,0.9347548049203956,False,90
n00416,Coleman Street,unclassified,0.32969770179379926,False,90
n00417,Coleman Street,unclassified,0.13510159780894437,False,90
n00418,Coleman Street,unclassified,3.059630156120554,False,90
n00419,Coleman Street,unclassified,0.9155700977899024,False,90
n00420,Coleman Street,unclassified,0.6010067868180141,False,90
n00421,Coleman Street,unclassified,0.10559925825746781,False,90
n00422,Coleman Street,unclassified,1.2716000203198945,False,90
n00423,Coleman Street,service,1.4604236925105054,False,90
n00424,Coleman Street,unclassified,1.074337942256864,False,90
n00425,Coleman Street,unclassified,0.11816842203456386,False,90
n00426,Coleman Street,unclassified,0.32107895187136526,False,90
n00427,Coleman Street,unclassified,0.6194457059414901,False,90
n00428,Coleman Street,unclassified,1.2865329778419132,False,90
n00429,College Hill,unclassified,1.8453510155793909,False,90
n00430,College Hill,residential,1.0594044260976794,False,90
n00431,College Hill,residential,1.017463823574743,False,90
n00432,College Hill,residential,2.5621090992898887,False,90
n00433,College Hill,unclassified,0.427018409935837,False,90
n00434,College Hill,residential,1.0046875005594351,False,90
n00435,College Street,unclassified,0.670841857324617,False,90
n00436,College Street,unclassified,0.26864472837275316,False,90
n00437,College Street,unclassified,0.3013306480699702,False,90
n00438,College Street,unclassified,1.1732984226050995,False,90
n00439,College Street,unclassified,1.8453510155793909,False,90
n00440,College Street,unclassified,0.32542590508182284,False,90
n00441,College Street,unclassified,0.10114536376687727,False,90
n00442,Copthall Avenue,pedestrian,1.3745077322790062,True,180
n00443,Copthall Avenue,pedestrian,0.9993841999337136,True,180
n00444,Copthall Avenue,pedestrian,0.9093884945290375,True,180
n00445,Copthall Avenue,pedestrian,1.2412284063702481,True,180
n00446,Copthall Avenue,pedestrian,1.419120042366452,True,180
n00447,Copthall Avenue,pedestrian,0.9202332715252743,True,180
