node_id,heading,path,pano_date,on_target
n00055,180,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00055_180.jpg,2024-09,False
n00055,270,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00055_270.jpg,2024-09,False
n00056,0,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00056_000.jpg,2022-05,False
n00056,90,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00056_090.jpg,2022-05,False
n00056,180,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00056_180.jpg,2022-05,False
n00056,270,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00056_270.jpg,2022-05,False
n00057,0,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00057_000.jpg,2020-11,False
n00057,90,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00057_090.jpg,2020-11,False
n00057,180,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00057_180.jpg,2020-11,False
n00057,270,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00057_270.jpg,2020-11,False
n00058,0,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00058_000.jpg,2020-11,False
n00058,90,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00058_090.jpg,2020-11,False
n00058,180,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00058_180.jpg,2020-11,False
n00058,270,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00058_270.jpg,2020-11,False
n00059,0,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00059_000.jpg,2020-11,False
n00059,90,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00059_090.jpg,2020-11,False
n00059,180,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00059_180.jpg,2020-11,False
n00059,270,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00059_270.jpg,2020-11,False
n00060,0,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00060_000.jpg,2020-11,False
n00060,90,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00060_090.jpg,2020-11,False
n00060,180,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00060_180.jpg,2020-11,False
n00060,270,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00060_270.jpg,2020-11,False
n00061,0,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00061_000.jpg,2020-11,False
n00061,90,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00061_090.jpg,2020-11,False
n00061,180,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00061_180.jpg,2020-11,False
n00061,270,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00061_270.jpg,2020-11,False
n00062,0,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00062_000.jpg,2025-09,False
n00062,90,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00062_090.jpg,2025-09,False
n00062,180,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00062_180.jpg,2025-09,False
n00062,270,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00062_270.jpg,2025-09,False
n00063,0,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00063_000.jpg,2022-06,False
n00063,90,C:\Users\lumic\Documents\murrayhill\data\london\raw\svi\n00063_090.jpg,2022-06,False
