node_id,osm_name,street_category,chain,chain_pos_m,lat,lon,typology,northing_m,easting_m,along_dist,cross_dist,n_images,directions,name_resolved,excluded_by_pattern,collides_m,intersection_dup,axis_mismatch,frame_ok,nearest_img_m,nearest_img_node,reusable
1st_avenue_020,1st Avenue,1st_avenue,1st_avenue#0,378.6238792156319,40.746679,-73.9714,avenue_secondary,384.33364781355453,920.4410131083997,40.28666278295435,463.7811556043149,2,Northbound/Southbound,True,False,31.69362232545458,False,False,True,4.502895866657048,n00019,True
1st_avenue_021,1st Avenue,1st_avenue,1st_avenue#0,398.5199535494472,40.746837,-73.971287,avenue_secondary,404.22928136199,920.3085759418875,60.25665063270159,463.6165902638608,2,Northbound/Southbound,True,False,11.801494129012488,False,False,True,4.5356870538846765,n00020,True
1st_avenue_022,1st Avenue,1st_avenue,1st_avenue#0,418.47190688599505,40.746993,-73.971168,avenue_secondary,424.17687011797216,920.7258825030582,80.27790586199927,464.0026324206368,2,Northbound/Southbound,True,False,8.150830165364177,False,False,True,4.512943351347189,n00021,True
1st_avenue_023,1st Avenue,1st_avenue,1st_avenue#0,438.4045292575496,40.747153,-73.971059,avenue_secondary,444.10232050321923,920.1912222819319,100.27846657379304,463.4351032870965,2,Northbound/Southbound,True,False,28.07873018326416,False,False,True,4.508086677722318,n00022,True
1st_avenue_024,1st Avenue,1st_avenue,1st_avenue#0,442.1250243906718,40.747183,-73.971039,avenue_secondary,447.8204548157845,920.0587033424897,104.01066915444116,463.2963945135277,2,Northbound/Southbound,True,False,31.798533282136564,False,False,True,0.7740455469183057,n00022,True
1st_avenue_025,1st Avenue,1st_avenue,1st_avenue#0,461.8230009613663,40.747361,-73.971028,avenue_secondary,465.4793233695906,911.3308947756714,121.74933814754031,454.5252364247152,2,Northbound/Southbound,True,False,31.053129743390848,False,False,True,8.7191192925919,n00023,False
1st_avenue_026,1st Avenue,1st_avenue,1st_avenue#0,470.323887562775,40.747343,-73.97093,avenue_secondary,467.74590520171853,919.5240431209827,124.01122986692506,462.7288653796049,2,Northbound/Southbound,True,False,33.15642349891828,False,False,True,0.7692257907621485,n00023,True
1st_avenue_027,1st Avenue,1st_avenue,1st_avenue#0,490.02601594579454,40.747521,-73.970918,avenue_secondary,485.4456597774133,910.8699948901744,141.7908189805319,454.0315291423396,2,Northbound/Southbound,True,False,14.316475275175723,False,False,True,8.661805196815788,n00024,False
1st_avenue_028,1st Avenue,1st_avenue,1st_avenue#0,498.4449341343562,40.747503,-73.970821,avenue_secondary,487.6713555870716,918.9893828984275,144.01179057882746,462.16133624463293,2,Northbound/Southbound,True,False,20.509298221493324,False,False,True,0.7643672934191995,n00024,True
1st_avenue_029,1st Avenue,1st_avenue,1st_avenue#0,517.9410578140511,40.747679,-73.970806,avenue_secondary,505.3004073039601,910.6637973876523,161.71988670977152,453.7931419503383,2,Northbound/Southbound,True,False,15.69933019046981,False,False,True,8.746088128241613,n00025,False
1st_avenue_030,1st Avenue,1st_avenue,1st_avenue#0,526.4419444142947,40.747661,-73.970708,avenue_secondary,507.5669891355071,918.8569457319154,163.9817784285747,461.9967709041789,2,Northbound/Southbound,True,False,21.575834736275226,False,False,True,0.7934932158720008,n00025,True
1st_avenue_031,1st Avenue,1st_avenue,1st_avenue#0,546.0431158722255,40.747838,-73.970694,avenue_secondary,525.251835293377,910.4040090294625,181.74608111173984,453.5009165645059,2,Northbound/Southbound,True,False,9.654681492025663,False,False,True,8.743727127623009,n00030,False
1st_avenue_032,1st Avenue,1st_avenue,1st_avenue#0,555.1158639975041,40.747817,-73.97059,avenue_secondary,527.4736918689136,919.2004919574566,183.96211353667456,462.3089912097901,2,Northbound/Southbound,True,False,1.6662088346673136,True,False,False,0.8139066236438072,n00026,True
1st_avenue_033,1st Avenue,1st_avenue,1st_avenue#0,575.0194970574469,40.747997,-73.970584,avenue_secondary,545.1214912377486,909.9966999985849,201.6904352714211,453.0610474749123,2,Northbound/Southbound,True,False,8.096835916792926,False,False,True,8.78218050476437,n00031,False
1st_avenue_034,1st Avenue,1st_avenue,1st_avenue#0,588.2966125888983,40.747954,-73.970437,avenue_secondary,546.9744765863084,923.143876202376,203.52924609315812,466.227902003669,2,Northbound/Southbound,True,False,5.355710537621521,False,False,True,0.8253793564633392,n00027,True
